Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
868	69	79	89
869	66	77	86
870	25	5	15
871	91	8	81
872	32	22	41
873	88	78	98
874	51	72	62
875	34	43	24
876	80	100	91
877	7	76	19
878	45	25	35
879	48	58	67
880	51	72	62
881	60	48	69
882	62	41	52
883	19	28	9
884	28	17	37
885	62	71	53
886	78	89	98
887	89	97	79
888	48	69	59
889	78	87	68
890	29	19	38
891	38	28	47
892	89	98	107
893	53	43	62
894	20	10	29
895	52	62	72
896	76	96	86
897	26	46	36
898	102	82	92
899	107	96	116
900	60	40	50
901	41	50	32
902	46	36	55
903	86	77	68
904	47	68	58
905	89	99	109
906	19	40	30
907	5	73	84
908	93	82	102
909	61	41	52
910	62	52	71
911	82	72	91
912	113	104	95
913	56	65	47
914	63	84	74
915	81	71	90
916	73	63	82
917	46	55	37
918	98	77	88
919	6	74	85
920	49	28	39
921	82	72	91
922	62	53	43
923	87	96	78
924	65	75	84
925	41	32	22
926	85	106	96
927	100	90	81
928	52	42	62
929	34	54	44
930	99	89	108
931	6	27	17
932	68	77	59
933	101	110	92
934	77	67	87
935	86	95	76
936	69	59	78
937	72	63	53
938	107	98	88
939	93	83	102
940	22	41	31
941	40	30	50
942	63	82	72
943	97	87	78
944	81	102	92
945	42	52	62
946	43	33	52
947	73	63	82
948	70	50	60
949	21	31	41
950	93	73	83
951	44	34	25
952	91	71	81
953	65	86	76
954	71	50	61
955	50	71	61
956	52	61	43
957	90	80	99
958	37	27	46
959	88	78	97
960	49	39	59
961	68	59	77
962	71	80	62
963	113	104	94
964	59	79	69
965	97	87	106
966	79	99	89
967	82	61	72
968	90	81	71
969	37	46	27
970	57	77	67
971	57	77	67
972	79	99	89
973	65	74	84
974	66	56	75
975	57	67	77
976	88	97	78
977	100	80	90
978	31	52	42
979	63	52	72
980	50	61	70
981	67	87	78
982	32	23	13
983	85	105	95
984	16	26	36
985	15	36	26
986	78	98	88
987	89	98	79
988	32	22	42
989	103	83	93
990	61	52	42
991	21	30	12
992	47	56	37
993	20	29	10
994	58	67	48
995	87	5	78
996	58	49	39
997	73	84	94
998	105	85	95
999	22	32	42
